name,department,price,user_email,purchase_date
Lightweight Iron Knife,Tools & Computers,62.01,mose.powlowski@gmail.com,2016-01-11
Mediocre Aluminum Clock,Clothing & Jewelery,17.67,sylvan@yahoo.com,2016-01-05
Aerodynamic Iron Knife,Beauty,20.92,saul@hotmail.com,2015-12-27
Practical Wool Bench,Health & Grocery,50.76,jamir.ritchie@yahoo.com,2015-12-20
Fantastic Linen Chair,"Grocery, Outdoors & Shoes",19.53,donny.ondricka@hotmail.com,2015-12-24
Rustic Silk Lamp,"Clothing, Games & Computers",41.19,jamel@yahoo.com,2016-01-09
Heavy Duty Wool Bag,"Shoes, Clothing & Outdoors",28.77,earnestine@gmail.com,2016-01-03
Durable Aluminum Lamp,Music & Clothing,81.61,brook@yahoo.com,2015-12-16
Incredible Copper Watch,Electronics,63.91,darren_lueilwitz@yahoo.com,2016-01-09
Sleek Cotton Computer,"Grocery, Industrial & Books",61.37,cheyanne_fadel@gmail.com,2015-12-19
Synergistic Wool Bag,"Kids, Music & Computers",63.37,adelbert@gmail.com,2015-12-12
Aerodynamic Wooden Computer,"Movies, Toys & Garden",62.2,vaughn_douglas@gmail.com,2015-12-15
Awesome Aluminum Shirt,Electronics & Baby,84.53,lauryn.goyette@gmail.com,2015-12-23
Gorgeous Aluminum Table,"Baby, Electronics & Outdoors",81.79,alene.mccullough@gmail.com,2015-12-25
Synergistic Wool Hat,Games & Jewelery,77.13,lila@gmail.com,2015-12-30
Small Wool Pants,Electronics & Sports,41.51,jon@yahoo.com,2016-01-09
Ergonomic Steel Bench,Garden & Jewelery,9.92,quinn_fisher@yahoo.com,2015-12-14
Practical Cotton Bench,Books & Home,35.05,ofelia_wisozk@gmail.com,2016-01-11
Incredible Copper Pants,Toys & Beauty,24.43,faustino.schmitt@yahoo.com,2015-12-24
Gorgeous Steel Coat,"Automotive, Books & Grocery",55.03,jeanie_kerluke@yahoo.com,2015-12-17
Lightweight Steel Hat,Kids & Industrial,92.57,margarett@gmail.com,2016-01-11
Gorgeous Concrete Bag,"Grocery, Health & Toys",69.71,lavon@yahoo.com,2015-12-15
Awesome Marble Car,"Shoes, Health & Games",48.96,helga.walter@yahoo.com,2015-12-18
Sleek Rubber Bottle,Garden,47.46,nola.adams@hotmail.com,2015-12-27
Aerodynamic Bronze Bottle,Automotive,95.2,modesto@gmail.com,2015-12-15
Heavy Duty Marble Knife,Jewelery & Home,70.5,lori.kemmer@gmail.com,2015-12-29
Durable Copper Bottle,Shoes,86.93,stephan@hotmail.com,2015-12-16
Practical Iron Bag,Jewelery,75.82,leone@gmail.com,2015-12-13
Synergistic Cotton Knife,Toys & Games,80.98,kody@yahoo.com,2015-12-13
Mediocre Aluminum Clock,"Toys, Music & Automotive",82.41,caria.mertz@gmail.com,2016-01-07
Fantastic Silk Watch,Games,90.6,elvera@hotmail.com,2016-01-03
Ergonomic Leather Shirt,Grocery & Books,49.42,xavier@hotmail.com,2015-12-26
Incredible Steel Coat,Tools & Health,70.96,vernon.okeefe@hotmail.com,2015-12-18
Fantastic Cotton Keyboard,Garden,48.67,lourdes.wisoky@hotmail.com,2015-12-13
Small Rubber Car,Clothing,15.43,vada@hotmail.com,2015-12-23
Synergistic Bronze Keyboard,Jewelery,3.46,sylvan_damore@gmail.com,2016-01-06
Gorgeous Copper Lamp,"Tools, Toys & Books",13.97,camryn@yahoo.com,2015-12-12
Awesome Linen Clock,Electronics,98.0,karli@hotmail.com,2015-12-28
Enormous Steel Car,"Automotive, Books & Tools",16.57,megane.olson@gmail.com,2016-01-05
Small Silk Lamp,Sports,34.32,annalise.beatty@gmail.com,2015-12-19
Heavy Duty Marble Car,Electronics & Sports,42.59,ramiro.gerlach@yahoo.com,2015-12-22
Fantastic Silk Gloves,Garden,70.38,celia@gmail.com,2015-12-24
Fantastic Wooden Clock,Toys & Baby,5.88,lance@gmail.com,2015-12-21
Synergistic Linen Pants,"Electronics, Garden & Books",75.86,richard_murphy@yahoo.com,2016-01-02
Gorgeous Copper Gloves,"Toys, Shoes & Beauty",45.8,bridie@yahoo.com,2015-12-19
Fantastic Leather Shoes,Home & Computers,7.43,emilie@gmail.com,2016-01-09
Fantastic Granite Gloves,Games & Electronics,72.55,audie_ledner@gmail.com,2015-12-27
Sleek Bronze Chair,"Clothing, Kids & Automotive",28.68,peter_runolfon@gmail.com,2015-12-28
Incredible Iron Chair,"Automotive, Books & Shoes",91.88,darren.anderson@hotmail.com,2016-01-11
Mediocre Rubber Keyboard,"Health, Clothing & Computers",89.66,melany@hotmail.com,2015-12-29
Durable Marble Watch,Toys & Industrial,34.37,melyna.kohler@gmail.com,2016-01-06
Synergistic Granite Knife,Health & Movies,4.84,paige.reynolds@hotmail.com,2015-12-12
Sleek Copper Pants,Games,44.14,maybell_moore@yahoo.com,2015-12-12
Durable Leather Hat,"Movies, Books & Toys",60.4,brannon.shanahan@hotmail.com,2015-12-28
Small Linen Shoes,Grocery & Computers,58.76,emmalee@gmail.com,2015-12-16
Aerodynamic Wooden Shoes,"Grocery, Health & Games",41.69,cyril@yahoo.com,2016-01-01
Practical Rubber Clock,"Toys, Outdoors & Books",13.26,blair@hotmail.com,2015-12-23
Enormous Concrete Keyboard,Automotive & Clothing,24.21,ervin@gmail.com,2015-12-24
Fantastic Wooden Coat,"Industrial, Beauty & Clothing",36.42,bria@hotmail.com,2015-12-13
Ergonomic Steel Knife,Home & Computers,73.87,monserrate_reilly@gmail.com,2015-12-24
Incredible Wooden Shoes,"Electronics, Games & Tools",85.5,kyleigh_kautzer@gmail.com,2015-12-20
Gorgeous Wooden Chair,Toys,32.43,betty@yahoo.com,2016-01-06
Durable Rubber Shoes,Outdoors,15.48,irwin@yahoo.com,2016-01-09
Synergistic Aluminum Bench,"Electronics, Industrial & Toys",48.49,leone_gaylord@hotmail.com,2016-01-06
Incredible Cotton Watch,Outdoors & Computers,67.02,katelin.kunde@hotmail.com,2015-12-17
Fantastic Marble Hat,Beauty & Music,19.56,esmeralda_cummerata@yahoo.com,2015-12-18
Intelligent Paper Table,"Automotive, Home & Shoes",3.74,cristobal_emard@hotmail.com,2015-12-17
Aerodynamic Paper Lamp,"Automotive, Computers & Beauty",33.89,pat.wiegand@hotmail.com,2015-12-28
Incredible Concrete Lamp,Garden,59.44,jules.braun@hotmail.com,2016-01-03
